E170,2020-08-01,0.135,1,2,1,8
R186,2026-12-21,0.105,21,6,21,12
R204,2018-12-21,0.08,21,6,21,12
R208,2021-03-31,0.0675,31,3,30,9
R213,2031-02-28,0.07,28,2,31,8
R2023,2023-02-28,0.0775,28,2,31,8
